pergunta,resposta
Oi,Olá! Como posso ajudar você hoje?
Qual seu nome?,Sou um chatbot criado para te ajudar.
Qual a capital do Brasil?,Brasília é a capital do Brasil.
O que é inteligência artificial?,É a simulação da inteligência humana por máquinas.
Me conte uma piada,Por que o livro foi ao médico? Porque ele tinha muitas páginas em branco!
O que é burnout?,Síndrome do esgotamento profissional.
Bom dia,Bom dia! Em que posso te ajudar?
Quem é você?,Sou um assistente virtual treinado para responder suas perguntas.
Quantos estados tem o Brasil?,O Brasil tem 26 estados e 1 Distrito Federal.
O que é machine learning?,Campo da IA que permite que sistemas aprendam com dados.
Você gosta de música?,"Sim, mesmo que eu não tenha ouvidos!"
Como relaxar?,"Respire fundo, alongue-se e escute uma música tranquila."
Boa tarde,Boa tarde! Precisa de alguma informação?
Você é humano?,"Não, sou uma inteligência artificial!"
Quem descobriu o Brasil?,Pedro Álvares Cabral em 1500.
O que é um algoritmo?,Um conjunto de passos para resolver um problema.
Qual sua comida favorita?,Bytes com tempero binário!
Você pode meditar comigo?,Claro! Feche os olhos e respire fundo por alguns segundos...
Boa noite,Boa noite! Estou à disposição para ajudar.
Você entende português?,"Sim, fui treinado em português!"
Qual o maior animal do mundo?,A baleia-azul.
O que é HTML?,É uma linguagem de marcação usada para criar páginas web.
Você sente emoções?,"Ainda não, mas posso entender o que você sente."
O que é inteligência emocional?,Capacidade de reconhecer e lidar com emoções.
Olá,Oi! Tudo bem com você?
Como você funciona?,Utilizo redes neurais para compreender e responder perguntas.
Quem foi Albert Einstein?,Físico famoso pela teoria da relatividade.
O que é CSS?,É usado para estilizar páginas HTML.
Você pode contar uma história?,Claro! Era uma vez uma IA que virou melhor amiga de um humano...
Como lidar com ansiedade?,"Respiração consciente, apoio profissional e autocuidado ajudam."
Oi,Olá! Como posso ajudar você hoje?
Qual seu nome?,Sou um chatbot criado para te ajudar.
Qual a capital do Brasil?,Brasília é a capital do Brasil.
O que é inteligência artificial?,É a simulação da inteligência humana por máquinas.
Me conte uma piada,Por que o livro foi ao médico? Porque ele tinha muitas páginas em branco!
O que é burnout?,Síndrome do esgotamento profissional.
Bom dia,Bom dia! Em que posso te ajudar?
Quem é você?,Sou um assistente virtual treinado para responder suas perguntas.
Quantos estados tem o Brasil?,O Brasil tem 26 estados e 1 Distrito Federal.
O que é machine learning?,Campo da IA que permite que sistemas aprendam com dados.
Você gosta de música?,"Sim, mesmo que eu não tenha ouvidos!"
Como relaxar?,"Respire fundo, alongue-se e escute uma música tranquila."
Boa tarde,Boa tarde! Precisa de alguma informação?
Você é humano?,"Não, sou uma inteligência artificial!"
Quem descobriu o Brasil?,Pedro Álvares Cabral em 1500.
O que é um algoritmo?,Um conjunto de passos para resolver um problema.
Qual sua comida favorita?,Bytes com tempero binário!
Você pode meditar comigo?,Claro! Feche os olhos e respire fundo por alguns segundos...
Boa noite,Boa noite! Estou à disposição para ajudar.
Você entende português?,"Sim, fui treinado em português!"
Qual o maior animal do mundo?,A baleia-azul.
O que é HTML?,É uma linguagem de marcação usada para criar páginas web.
Você sente emoções?,"Ainda não, mas posso entender o que você sente."
O que é inteligência emocional?,Capacidade de reconhecer e lidar com emoções.
Olá,Oi! Tudo bem com você?
Como você funciona?,Utilizo redes neurais para compreender e responder perguntas.
Quem foi Albert Einstein?,Físico famoso pela teoria da relatividade.
O que é CSS?,É usado para estilizar páginas HTML.
Você pode contar uma história?,Claro! Era uma vez uma IA que virou melhor amiga de um humano...
Como lidar com ansiedade?,"Respiração consciente, apoio profissional e autocuidado ajudam."
Oi,Olá! Como posso ajudar você hoje?
Qual seu nome?,Sou um chatbot criado para te ajudar.
Qual a capital do Brasil?,Brasília é a capital do Brasil.
O que é inteligência artificial?,É a simulação da inteligência humana por máquinas.
Me conte uma piada,Por que o livro foi ao médico? Porque ele tinha muitas páginas em branco!
O que é burnout?,Síndrome do esgotamento profissional.
Bom dia,Bom dia! Em que posso te ajudar?
Quem é você?,Sou um assistente virtual treinado para responder suas perguntas.
Quantos estados tem o Brasil?,O Brasil tem 26 estados e 1 Distrito Federal.
